Transaction Number,Date,Description ,Memo,Category,Transaction Amount,Balance,Temp 1
101584,12/07/2018,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$375,657.26",Recurring
32434,12/09/2018,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$365,156.74",Recurring
32452,12/12/2018,DEBIT PURCHASE,"The Rolling Stones, Private Show",Entertainment,"-$25,006.35","$340,150.39",Occaisional
32435,12/12/2018,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$10,362.88","$329,787.51",Recurring
32447,12/13/2018,DEBIT PURCHASE,Dirty Candy,Food & Dining,-$24.63,"$329,762.88",Occaisional
32437,12/13/2018,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$329,759.63",Occaisional
32439,12/14/2018,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$323,259.63",Recurring
32440,12/15/2018,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$25,026.35","$298,233.28",Recurring
32441,12/16/2018,DEBIT PURCHASE,Azerbaijan Grand Prix track rental,Entertainment,"-$20,652.99","$277,580.29",Occaisional
101612,12/16/2018,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$327,580.29",Recurring
32438,12/18/2018,DEBIT PURCHASE,Taco Shack,Food & Dining,-$123.95,"$327,456.34",Occaisional
32455,12/21/2018,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$327,053.84",Occaisional
32444,12/21/2018,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$326,155.52",Recurring
32443,12/21/2018,DEBIT PURCHASE,Electric Gloves,Clothing & Personal ,-$852.95,"$325,302.57",Occaisional
32442,12/21/2018,DEBIT PURCHASE,Redwoods Treehouse,Food & Dining,"-$1,389.89","$323,912.68",Occaisional
32430,12/21/2018,DEBIT PURCHASE,Clicker Dog Training System,Pets,-$365.23,"$323,547.45",Occaisional
32445,12/22/2018,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$311,181.50",Recurring
32446,12/23/2018,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$305,820.18",Recurring
32449,12/24/2018,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$297,160.70",Recurring
32448,12/24/2018,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$294,653.71",Recurring
32451,12/25/2018,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$292,348.50",Recurring
32450,12/25/2018,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$14,030.25","$278,318.25",Recurring
32453,12/26/2018,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$275,351.90",Recurring
32426,12/26/2018,DEBIT PURCHASE,Vertu Constellation Smartphone,Shopping,"-$13,652.25","$261,699.65",Occaisional
32473,01/01/2019,DEBIT PURCHASE,Taco Shack,Food & Dining,-$85.90,"$261,613.75",Occaisional
32457,01/01/2019,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$102,062.35","$159,551.40",Recurring
32456,01/01/2019,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$29,185.38","$130,366.02",Recurring
32458,01/02/2019,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$12,056.87","$118,309.15",Recurring
32454,1/2/2019,DEBIT PURCHASE,Anti Radiation Eyebrow Waxing,Health & Fitness,-$847.52,"$117,461.63",Occaisional
32461,01/03/2019,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,100.25","$115,361.38",Recurring
32463,01/04/2019,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$17,023.21","$98,338.17",Recurring
32465,01/05/2019,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,153.02","$96,185.15",Recurring
32464,01/05/2019,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$6,523.25","$89,661.90",Recurring
101547,01/05/2019,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$24,011.68","$113,673.58",Recurring
32466,01/06/2019,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$4,185.21","$109,488.37",Recurring
32468,01/07/2019,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$108,136.35",Recurring
32467,01/07/2019,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$97,810.72",Recurring
101585,01/07/2019,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$167,810.72",Recurring
32460,01/08/2019,DEBIT PURCHASE,Hot Tub for Dogs,Pets,"-$4,502.11","$163,308.61",Occaisional
32459,01/08/2019,DEBIT PURCHASE,McLaren Venge Bicycle,Shopping,"-$18,002.35","$145,306.26",Occaisional
32469,01/09/2019,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$134,805.74",Recurring
32487,01/10/2019,DEBIT PURCHASE,Harry Potter and the Cursed Child,Entertainment,-$659.32,"$134,146.42",Occaisional
32471,01/11/2019,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$133,743.42",Occaisional
32470,01/12/2019,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$10,362.88","$123,380.54",Recurring
32472,01/13/2019,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$123,377.29",Occaisional
32482,01/14/2019,DEBIT PURCHASE,Homewood Mountain Resort,Food & Dining,"-$2,254.63","$121,122.66",Occaisional
32474,01/14/2019,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$114,622.66",Recurring
32477,01/15/2019,DEBIT PURCHASE,Dinner in the Sky,Food & Dining,"-$1,268.52","$113,354.14",Occaisional
32475,01/15/2019,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$15,020.36","$98,333.78",Recurring
101559,01/15/2019,DIRECT DEPOSIT,Trust Fund Stock,Dividends,"$699,686.46","$798,020.24",Recurring
32476,01/16/2019,DEBIT PURCHASE,Abu Dhabi Grand Prix,Entertainment,"-$18,667.64","$779,352.60",Occaisional
101613,01/16/2019,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$829,352.60",Recurring
32479,01/21/2019,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$828,454.28",Recurring
32478,01/21/2019,DEBIT PURCHASE,Hoverboard Shoes,Clothing & Personal ,-$895.32,"$827,558.96",Occaisional
32480,01/22/2019,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$815,193.01",Recurring
32490,01/23/2019,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$814,790.51",Occaisional
32481,01/23/2019,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$809,429.19",Recurring
32484,01/24/2019,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$800,769.71",Recurring
32483,01/24/2019,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$798,262.72",Recurring
32486,01/25/2019,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$795,957.51",Recurring
32485,01/25/2019,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$13,020.32","$782,937.19",Recurring
32488,01/26/2019,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$779,970.84",Recurring
32462,01/28/2019,DEBIT PURCHASE,Namale Fiji,Food & Dining,"-$3,689.25","$776,281.59",Occaisional
32497,02/01/2019,DEBIT PURCHASE,Zauo,Food & Dining,"-$2,356.35","$773,925.24",Occaisional
32492,02/01/2019,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$102,062.35","$671,862.89",Recurring
32491,02/01/2019,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$29,185.38","$642,677.51",Recurring
32493,02/02/2019,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$12,056.87","$630,620.64",Recurring
32496,02/03/2019,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,100.25","$628,520.39",Recurring
32494,02/03/2019,DEBIT PURCHASE,Emperor 200 PC WorkStation,Shopping,"-$20,365.55","$608,154.84",Occaisional
32498,02/04/2019,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$17,023.21","$591,131.63",Recurring
32500,02/05/2019,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,153.02","$588,978.61",Recurring
32499,02/05/2019,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$65,235.36","$523,743.25",Recurring
32495,02/05/2019,DEBIT PURCHASE,Autoelex Pet Pavilion ,Pets,"-$5,698.32","$518,044.93",Occaisional
101548,02/05/2019,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$17,756.84","$535,801.77",Recurring
32501,02/06/2019,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$4,185.21","$531,616.56",Recurring
32525,02/07/2019,DEBIT PURCHASE,Zero Gravity Yoga Training,Health & Fitness,"-$15,020.32","$516,596.24",Occaisional
32503,02/07/2019,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$515,244.22",Recurring
32502,02/07/2019,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$504,918.59",Recurring
101586,02/07/2019,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$574,918.59",Recurring
32508,02/08/2019,DEBIT PURCHASE,Taco Shack,Food & Dining,-$35.96,"$574,882.63",Occaisional
32504,02/09/2019,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$564,382.11",Recurring
32505,02/12/2019,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$10,362.88","$554,019.23",Recurring
32507,02/13/2019,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$554,015.98",Occaisional
32489,02/13/2019,DEBIT PURCHASE,Remote Start pacemaker implant,Health & Fitness,"-$152,000.22","$402,015.76",Occaisional
32509,02/14/2019,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$395,515.76",Recurring
32510,02/15/2019,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$15,020.36","$380,495.40",Recurring
32511,02/16/2019,DEBIT PURCHASE,Maclaren Rental,Entertainment,"-$8,653.21","$371,842.19",Occaisional
101614,02/16/2019,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$421,842.19",Recurring
32512,02/17/2019,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$421,439.69",Occaisional
32506,02/18/2019,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$421,036.69",Occaisional
32515,02/21/2019,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$420,138.37",Recurring
32514,02/21/2019,DEBIT PURCHASE,Fireproof cape,Clothing & Personal ,"-$1,036.85","$419,101.52",Occaisional
32516,02/22/2019,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$406,735.57",Recurring
32513,02/22/2019,DEBIT PURCHASE,Ninja New York,Food & Dining,-$895.35,"$405,840.22",Occaisional
32517,02/23/2019,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$400,478.90",Recurring
32520,02/24/2019,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$391,819.42",Recurring
32519,02/24/2019,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$389,312.43",Recurring
32522,02/25/2019,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$387,007.22",Recurring
32521,02/25/2019,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$13,020.32","$373,986.90",Recurring
32524,02/26/2019,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$371,020.55",Recurring
32518,02/26/2019,DEBIT PURCHASE,Ninja Dining,Food & Dining,"-$2,854.63","$368,165.92",Occaisional
32527,03/01/2019,PAYMENT/TRANSFER DEBIT,Private Island Mortgage,Housing,"-$102,062.35","$266,103.57",Recurring
32526,03/01/2019,PAYMENT/TRANSFER DEBIT,Secret Lab Mortage,Housing,"-$29,185.38","$236,918.19",Recurring
32528,03/02/2019,PAYMENT/TRANSFER DEBIT,Emergency Shuttle Standby,Auto & Transport,"-$12,056.87","$224,861.32",Recurring
32531,03/03/2019,PAYMENT/TRANSFER DEBIT,Universal Subway Pass,Auto & Transport,"-$2,100.25","$222,761.07",Recurring
32533,03/04/2019,PAYMENT/TRANSFER DEBIT,Turbo Yacht - Mooring Fees,Auto & Transport,"-$17,023.21","$205,737.86",Recurring
32535,03/05/2019,PAYMENT/TRANSFER DEBIT,Car Maintentance Service,Auto & Transport,"-$2,153.02","$203,584.84",Recurring
32534,03/05/2019,PAYMENT/TRANSFER DEBIT,Galaxy Express Plutonium Card,Fees & Charges,"-$25,632.00","$177,952.84",Recurring
101549,03/05/2019,Direct Deposit,Dance of Mole Men - The Album,Royalties,"$11,502.00","$189,454.84",Recurring
32536,03/06/2019,PAYMENT/TRANSFER DEBIT,Electric & Gas,Utilities,"-$4,185.21","$185,269.63",Recurring
32552,03/07/2019,DEBIT PURCHASE,Masa,Food & Dining,-$254.63,"$185,015.00",Occaisional
32538,03/07/2019,PAYMENT/TRANSFER DEBIT,Secret Lab Insurance ,Insurance ,"-$1,352.02","$183,662.98",Recurring
32537,03/07/2019,PAYMENT/TRANSFER DEBIT,Private Island Volcano Insurance,Insurance ,"-$10,325.63","$173,337.35",Recurring
32530,03/07/2019,DEBIT PURCHASE,PetZen DogTread Motorized Exercise Treadmill ,Pets,"-$12,056.23","$161,281.12",Occaisional
32529,03/07/2019,DEBIT PURCHASE,10 Self Driving Rocking Chairs,Shopping,"-$15,032.86","$146,248.26",Occaisional
101587,03/07/2019,BALANCE TRANSER ,Savings Account,Transfer,"$70,000.00","$216,248.26",Recurring
32539,03/09/2019,DEBIT PURCHASE,Penthouse Rent/Timeshare,Housing,"-$10,500.52","$205,747.74",Recurring
32540,03/12/2019,PAYMENT/TRANSFER DEBIT,Personal Accountant,Fees & Charges,"-$10,362.88","$195,384.86",Recurring
32559,03/13/2019,DEBIT PURCHASE,Giant Infared Healing Clam,Health & Fitness,"-$14,003.23","$181,381.63",Occaisional
32543,03/13/2019,DEBIT PURCHASE,Taco Shack,Food & Dining,-$325.96,"$181,055.67",Occaisional
32542,03/13/2019,DEBIT PURCHASE,NetPix On Demand Video,Entertainment,-$3.25,"$181,052.42",Occaisional
32544,03/14/2019,PAYMENT/TRANSFER DEBIT,Emergency Medical Wing Standby,Health & Fitness,"-$6,500.00","$174,552.42",Recurring
32532,03/14/2019,DEBIT PURCHASE,"Guy Savoy, Paris (Groupon) ",Food & Dining,"-$12,635.00","$161,917.42",Occaisional
32545,03/15/2019,DEBIT PURCHASE,Personal Satellite Network ,Utilities,"-$15,020.36","$146,897.06",Recurring
32546,03/16/2019,DEBIT PURCHASE,Australian Grand Prix ,Entertainment,"-$18,667.64","$128,229.42",Occaisional
101615,03/16/2019,BALANCE TRANSER ,Money Market,Transfer,"$50,000.00","$178,229.42",Recurring
32560,03/20/2019,ATM WITHDRAWAL,7-11 ATM,Uncategorized,-$402.50,"$177,826.92",Occaisional
32547,03/20/2019,DEBIT PURCHASE,Ithaa Undersea Restaurant,Food & Dining,"-$26,895.46","$150,931.46",Occaisional
32549,03/21/2019,PAYMENT/TRANSFER DEBIT,Life and Clone Term Insurance ,Insurance ,-$898.32,"$150,033.14",Recurring
32548,03/21/2019,DEBIT PURCHASE,Custom Space Helmet,Clothing & Personal ,"-$5,232.99","$144,800.15",Occaisional
32541,03/21/2019,ATM WITHDRAWAL,Work Caffeteria ATM,Uncategorized,-$403.00,"$144,397.15",Occaisional
32550,03/22/2019,PAYMENT/TRANSFER DEBIT,Personal Trainer / Body Guard,Health & Fitness,"-$12,365.95","$132,031.20",Recurring
32551,03/23/2019,PAYMENT/TRANSFER DEBIT,Personal Stylist (part time) ,Clothing & Personal ,"-$5,361.32","$126,669.88",Recurring
32554,03/24/2019,PAYMENT/TRANSFER DEBIT,Personal Chef/Nutritionist,Food & Dining,"-$8,659.48","$118,010.40",Recurring
32553,03/24/2019,PAYMENT/TRANSFER DEBIT,Personal Concierge,Entertainment,"-$2,506.99","$115,503.41",Recurring
32556,03/25/2019,PAYMENT/TRANSFER DEBIT,Clone maintenance / Health Insurance,Insurance ,"-$2,305.21","$113,198.20",Recurring
32555,03/25/2019,PAYMENT/TRANSFER DEBIT,AI Machine Learning Loans,Loans,"-$13,020.32","$100,177.88",Recurring
32558,03/26/2019,PAYMENT/TRANSFER DEBIT,Personal Lawyer,Fees & Charges,"-$2,966.35","$97,211.53",Recurring
32557,03/26/2019,DEBIT PURCHASE,"Hamilton, Private Show",Entertainment,"-$25,006.35","$72,205.18",Occaisional
